ip,min_rtt,max_rtt,avg_rtt,packet_loss,geo_distance_km,location,error
160.242.19.254,228.242,330.257,254.192,0.0,11507.037205153109,,
41.110.39.130,139.805,203.211,152.794,0.0,7847.1675188667305,,
213.158.175.240,141.941,146.011,143.596,0.0,9917.999865225103,,
102.214.66.39,189.905,258.668,216.749,0.0,8733.610536200464,,
102.214.66.19,192.211,246.856,206.78,0.0,8733.610536200464,,
212.60.92.134,171.289,249.406,188.696,0.0,7393.763193754143,,
105.235.237.2,221.309,360.703,257.832,0.0,10218.091544144529,,
speed.mymanga.pro,,,,,,,'speed.mymanga.pro' does not appear to be an IPv4 or IPv6 address
speedtestfl.telecom.mu,,,,,,,'speedtestfl.telecom.mu' does not appear to be an IPv4 or IPv6 address
speedtest.telecom.mu,,,,,,,'speedtest.telecom.mu' does not appear to be an IPv4 or IPv6 address
41.226.22.119,131.189,165.972,144.106,0.0,7983.617104240352,,
41.210.185.162,278.085,482.42,331.776,0.0,12429.597495640663,,
169.150.238.161,265.732,366.41,304.559,0.0,13910.87788432635,,
69.48.239.124,255.346,390.923,318.423,0.0,13910.87788432635,,
86.96.154.106,217.777,387.521,258.134,0.0,11748.88970232411,,
23.249.55.42,204.206,282.767,218.669,0.0,11748.88970232411,,
69.48.238.200,211.089,304.672,235.035,0.0,11748.88970232411,,
84.17.57.129,225.435,427.331,288.253,0.0,12702.37334557785,,
23.249.58.14,195.226,241.419,206.424,0.0,12702.37334557785,,
speedtest.hkg12.hk.leaseweb.net,,,,,,,'speedtest.hkg12.hk.leaseweb.net' does not appear to be an IPv4 or IPv6 address
iperf.scbd.net.id,,,,,,,'iperf.scbd.net.id' does not appear to be an IPv4 or IPv6 address
103.185.255.183,0.0,0.0,0.0,1.0,14925.819597886239,,
169.150.202.193,155.004,233.469,165.472,0.0,9971.635671417502,,
speed.netfiber.net.il,,,,,,,'speed.netfiber.net.il' does not appear to be an IPv4 or IPv6 address
speed.rimon.net.il,,,,,,,'speed.rimon.net.il' does not appear to be an IPv4 or IPv6 address
23.249.61.122,261.323,408.556,315.158,0.0,13864.10791041263,,
69.48.236.198,258.066,364.36,311.036,0.0,13163.238102219759,,
89.187.160.1,164.375,252.601,185.827,0.0,10301.490656414095,,
23.249.60.154,133.98,187.593,146.358,0.0,10301.490656414095,,
66.35.31.81,130.943,213.545,161.02,0.0,10301.490656414095,,
speedtest.tyo11.jp.leaseweb.net,,,,,,,'speedtest.tyo11.jp.leaseweb.net' does not appear to be an IPv4 or IPv6 address
89.187.162.1,224.398,370.167,256.967,0.0,15241.388617381437,,
96.45.38.22,252.519,424.092,313.444,0.0,15241.388617381437,,
speedtest.sin1.sg.leaseweb.net,,,,,,,'speedtest.sin1.sg.leaseweb.net' does not appear to be an IPv4 or IPv6 address
sgp.proof.ovh.net,,,,,,,'sgp.proof.ovh.net' does not appear to be an IPv4 or IPv6 address
speedtest.singnet.com.sg,,,,,,,'speedtest.singnet.com.sg' does not appear to be an IPv4 or IPv6 address
156.146.52.1,151.125,252.648,167.805,0.0,8886.320414365857,,
69.48.237.66,150.347,235.782,167.166,0.0,8886.320414365857,,
speedtest.uztelecom.uz,,,,,,,'speedtest.uztelecom.uz' does not appear to be an IPv4 or IPv6 address
185.180.12.40,126.686,176.192,138.58,0.0,7613.282682381184,,
lg.vie.alwyzon.net,,,,,,,'lg.vie.alwyzon.net' does not appear to be an IPv4 or IPv6 address
207.211.214.65,103.119,117.995,107.681,0.0,6727.277668995239,,
37.19.203.1,137.92,180.348,148.32,0.0,8422.925298262615,,
t5.cscs.ch,,,,,,,'t5.cscs.ch' does not appear to be an IPv4 or IPv6 address
89.187.165.1,121.406,182.746,133.432,0.0,7189.020981763907,,
speedtest.init7.net,,,,,,,'speedtest.init7.net' does not appear to be an IPv4 or IPv6 address
212.60.47.34,118.791,200.418,142.633,0.0,7135.305808665855,,
speedtest.shinternet.ch,,,,,,,'speedtest.shinternet.ch' does not appear to be an IPv4 or IPv6 address
speedtest.iway.ch,,,,,,,'speedtest.iway.ch' does not appear to be an IPv4 or IPv6 address
185.152.65.113,117.95,198.153,138.812,0.0,7374.730689825112,,
85.163.71.241,127.532,319.741,190.61,0.0,7560.5589613864995,,
fra.speedtest.clouvider.net,,,,,,,'fra.speedtest.clouvider.net' does not appear to be an IPv4 or IPv6 address
185.102.219.93,110.727,225.497,136.456,0.0,7033.127861066143,,
178.215.228.109,112.448,299.486,148.132,0.0,7030.555835181417,,
96.45.39.38,109.794,115.142,111.546,0.0,7033.127861066143,,
spd-desrv.hostkey.com,,,,,,,'spd-desrv.hostkey.com' does not appear to be an IPv4 or IPv6 address
speedtest.ip-projects.de,,,,,,,'speedtest.ip-projects.de' does not appear to be an IPv4 or IPv6 address
speedtest.fra1.de.leaseweb.net,,,,,,,'speedtest.fra1.de.leaseweb.net' does not appear to be an IPv4 or IPv6 address
a209.speedtest.wobcom.de,,,,,,,'a209.speedtest.wobcom.de' does not appear to be an IPv4 or IPv6 address
a110.speedtest.wobcom.de,,,,,,,'a110.speedtest.wobcom.de' does not appear to be an IPv4 or IPv6 address
a208.speedtest.wobcom.de,,,,,,,'a208.speedtest.wobcom.de' does not appear to be an IPv4 or IPv6 address
a210.speedtest.wobcom.de,,,,,,,'a210.speedtest.wobcom.de' does not appear to be an IPv4 or IPv6 address
a205.speedtest.wobcom.de,,,,,,,'a205.speedtest.wobcom.de' does not appear to be an IPv4 or IPv6 address
speedtest.wobcom.de,,,,,,,'speedtest.wobcom.de' does not appear to be an IPv4 or IPv6 address
a400.speedtest.wobcom.de,,,,,,,'a400.speedtest.wobcom.de' does not appear to be an IPv4 or IPv6 address
speedtest.wtnet.de,,,,,,,'speedtest.wtnet.de' does not appear to be an IPv4 or IPv6 address
121.127.45.65,103.122,114.429,105.728,0.0,6926.756083595005,,
speed1.fiberby.dk,,,,,,,'speed1.fiberby.dk' does not appear to be an IPv4 or IPv6 address
speed2.fiberby.dk,,,,,,,'speed2.fiberby.dk' does not appear to be an IPv4 or IPv6 address
speedtest.hiper.dk,,,,,,,'speedtest.hiper.dk' does not appear to be an IPv4 or IPv6 address
185.93.3.50,125.778,132.917,127.609,0.0,6753.328544298348,,
148.230.45.213,106.202,115.042,108.618,0.0,6753.328544298348,,
spd-fisrv.hostkey.com,,,,,,,'spd-fisrv.hostkey.com' does not appear to be an IPv4 or IPv6 address
138.199.14.66,112.319,123.363,114.185,0.0,7228.399698991284,,
185.93.2.193,101.261,108.967,104.201,0.0,6709.512092970333,,
96.45.42.156,100.21,105.927,102.111,0.0,6709.512092970333,,
96.45.41.167,112.958,116.245,114.5,0.0,7316.976125598448,,
ping-90ms.online.net,,,,,,,'ping-90ms.online.net' does not appear to be an IPv4 or IPv6 address
ping6-90ms.online.net,,,,,,,'ping6-90ms.online.net' does not appear to be an IPv4 or IPv6 address
iperf.online.net,,,,,,,'iperf.online.net' does not appear to be an IPv4 or IPv6 address
ping6.online.net,,,,,,,'ping6.online.net' does not appear to be an IPv4 or IPv6 address
scaleway.testdebit.info,,,,,,,'scaleway.testdebit.info' does not appear to be an IPv4 or IPv6 address
ping.online.net,,,,,,,'ping.online.net' does not appear to be an IPv4 or IPv6 address
iperf3.moji.fr,,,,,,,'iperf3.moji.fr' does not appear to be an IPv4 or IPv6 address
lon.speedtest.clouvider.net,,,,,,,'lon.speedtest.clouvider.net' does not appear to be an IPv4 or IPv6 address
185.59.221.51,99.013,101.359,100.126,0.0,6417.0809755984355,,
96.45.40.45,96.137,98.54,97.082,0.0,6418.840854323103,,
speedtest.lon1.uk.leaseweb.net,,,,,,,'speedtest.lon1.uk.leaseweb.net' does not appear to be an IPv4 or IPv6 address
speedtest.lon12.uk.leaseweb.net,,,,,,,'speedtest.lon12.uk.leaseweb.net' does not appear to be an IPv4 or IPv6 address
speedtest2.lightningfibre.net.uk,,,,,,,'speedtest2.lightningfibre.net.uk' does not appear to be an IPv4 or IPv6 address
iperf.as42831.net,,,,,,,'iperf.as42831.net' does not appear to be an IPv4 or IPv6 address
45.92.46.189,0.0,0.0,0.0,1.0,6195.5522865733365,,
169.150.252.2,148.728,155.343,150.372,0.0,8805.209726918663,,
169.150.242.129,124.879,127.522,126.005,0.0,7750.75274665289,,
87.249.137.8,119.69,126.462,121.753,0.0,5954.8591876960345,,
spd-icsrv.hostkey.com,,,,,,,'spd-icsrv.hostkey.com' does not appear to be an IPv4 or IPv6 address
it1.speedtest.aruba.it,,,,,,,'it1.speedtest.aruba.it' does not appear to be an IPv4 or IPv6 address
217.61.40.96,120.488,124.143,121.595,0.0,7357.64308065678,,
84.17.59.129,119.061,122.792,121.201,0.0,7346.817632568178,,
speedtest.lu.buyvm.net,,,,,,,'speedtest.lu.buyvm.net' does not appear to be an IPv4 or IPv6 address
speedtest-ams-nl.as215248.net,,,,,,,'speedtest-ams-nl.as215248.net' does not appear to be an IPv4 or IPv6 address
ams.speedtest.clouvider.net,,,,,,,'ams.speedtest.clouvider.net' does not appear to be an IPv4 or IPv6 address
185.102.218.1,106.166,114.468,108.877,0.0,6678.909844698265,,
iperf-ams-nl.eranium.net,,,,,,,'iperf-ams-nl.eranium.net' does not appear to be an IPv4 or IPv6 address
speedtest.ams1.nl.leaseweb.net,,,,,,,'speedtest.ams1.nl.leaseweb.net' does not appear to be an IPv4 or IPv6 address
speedtest.ams2.nl.leaseweb.net,,,,,,,'speedtest.ams2.nl.leaseweb.net' does not appear to be an IPv4 or IPv6 address
speedtest.nl1.mirhosting.net,,,,,,,'speedtest.nl1.mirhosting.net' does not appear to be an IPv4 or IPv6 address
speedtest.netone.nl,,,,,,,'speedtest.netone.nl' does not appear to be an IPv4 or IPv6 address
speedtest.ams1.novogara.net,,,,,,,'speedtest.ams1.novogara.net' does not appear to be an IPv4 or IPv6 address
ping-ams1.online.net,,,,,,,'ping-ams1.online.net' does not appear to be an IPv4 or IPv6 address
lg.ams-nl.terrahost.com,,,,,,,'lg.ams-nl.terrahost.com' does not appear to be an IPv4 or IPv6 address
a204.speedtest.wobcom.de,,,,,,,'a204.speedtest.wobcom.de' does not appear to be an IPv4 or IPv6 address
lg.gigahost.no,,,,,,,'lg.gigahost.no' does not appear to be an IPv4 or IPv6 address
lg.terrahost.com,,,,,,,'lg.terrahost.com' does not appear to be an IPv4 or IPv6 address
185.246.208.67,120.024,124.46,121.186,0.0,7598.0170082503,,
109.61.94.65,135.536,140.5,136.769,0.0,6436.532857517115,,
lisboa.speedtest.net.zon.pt,,,,,,,'lisboa.speedtest.net.zon.pt' does not appear to be an IPv4 or IPv6 address
porto.speedtest.net.zon.pt,,,,,,,'porto.speedtest.net.zon.pt' does not appear to be an IPv4 or IPv6 address
185.102.217.170,146.303,148.348,147.184,0.0,8453.35519720672,,
