destination_ip,hop_number,hop_ip,min_rtt,max_rtt,avg_rtt
185.152.66.67,1,192.168.4.1,0.5,0.5,0.5
185.152.66.67,8,10.192.192.22,31.0,32.0,31.333333333333332
185.152.66.67,9,45.134.215.122,31.0,32.0,31.333333333333332
185.152.66.67,10,79.127.195.52,32.0,32.0,32.0
185.152.66.67,11,185.152.66.67,32.0,33.0,32.666666666666664
178.215.228.109,1,192.168.4.1,0.5,0.5,0.5
178.215.228.109,4,10.192.208.213,6.0,7.0,6.333333333333333
178.215.228.109,5,38.140.193.25,7.0,9.0,8.333333333333334
178.215.228.109,6,154.54.45.17,7.0,7.0,7.0
178.215.228.109,7,154.54.6.222,14.0,15.0,14.333333333333334
178.215.228.109,8,154.54.162.166,101.0,102.0,101.5
178.215.228.109,9,154.54.166.13,99.0,100.0,99.66666666666667
178.215.228.109,10,130.117.0.166,101.0,101.0,101.0
178.215.228.109,11,154.54.56.94,101.0,101.0,101.0
178.215.228.109,12,154.54.62.141,104.0,106.0,105.0
178.215.228.109,13,130.117.1.2,104.0,106.0,105.0
178.215.228.109,14,154.25.3.178,109.0,109.0,109.0
178.215.228.109,15,149.11.20.61,108.0,108.0,108.0
178.215.228.109,16,178.215.231.201,109.0,110.0,109.5
178.215.228.109,17,178.215.228.109,107.0,108.0,107.66666666666667
185.152.67.2,1,192.168.4.1,0.5,0.5,0.5
185.152.67.2,4,10.192.208.213,5.0,7.0,6.333333333333333
185.152.67.2,5,38.140.193.25,7.0,9.0,8.0
185.152.67.2,6,154.54.46.177,7.0,7.0,7.0
185.152.67.2,7,154.54.166.73,16.0,30.0,22.0
185.152.67.2,8,154.54.31.93,26.0,26.0,26.0
185.152.67.2,9,154.54.165.30,37.0,39.0,38.0
185.152.67.2,10,154.54.166.70,46.0,48.0,47.0
185.152.67.2,11,154.54.45.162,56.0,58.0,57.0
185.152.67.2,12,154.54.25.150,57.0,58.0,57.5
185.152.67.2,13,38.142.33.186,64.0,64.0,64.0
185.152.67.2,14,79.127.195.164,65.0,67.0,66.0
185.152.67.2,15,185.152.67.2,52.0,53.0,52.333333333333336
169.150.202.193,1,192.168.4.1,0.5,0.5,0.5
169.150.202.193,4,10.192.208.213,6.0,7.0,6.666666666666667
169.150.202.193,5,62.115.192.212,7.0,7.0,7.0
169.150.202.193,6,62.115.140.108,8.0,8.0,8.0
169.150.202.193,7,62.115.139.32,24.0,24.0,24.0
169.150.202.193,8,62.115.139.245,91.0,92.0,91.66666666666667
169.150.202.193,9,62.115.122.189,92.0,93.0,92.33333333333333
169.150.202.193,10,213.248.93.91,144.0,144.0,144.0
169.150.202.193,14,107.150.178.27,151.0,152.0,151.33333333333334
169.150.202.193,15,169.150.202.193,152.0,153.0,152.5
23.249.60.154,1,192.168.4.1,0.5,1.0,0.6666666666666666
23.249.60.154,4,10.192.208.213,6.0,7.0,6.666666666666667
23.249.60.154,5,128.241.8.46,6.0,8.0,7.0
23.249.60.154,10,129.250.5.199,145.0,149.0,146.33333333333334
23.249.60.154,11,153.254.88.34,151.0,151.0,151.0
23.249.60.154,12,83.231.169.150,151.0,151.0,151.0
23.249.60.154,15,23.249.60.154,154.0,155.0,154.66666666666666
